"County","LandArea","PctRural","MedianIncome","Population","PctUnder18","PctOver65","PctPoverty","PctUninsured","PctSomeCollege","PctUnemployed","PhysiciansPer10000"
"Wilson",803.7,85.9,62752,46402,24.8,14.9,11.5,22,58.3,4.1,3.66363518813844
"Polk",1057.1,77.6,41401,46079,20.5,19.9,20.2,31,41.5,6.4,5.20844636385338
"Burnet",994.3,55.7,53203,44943,21.6,21.1,16.3,31,48.2,4.2,4.45008121398216
"Wood",645.2,74.2,42753,42852,19.7,26.5,14.6,26,47.3,5.9,4.90058807056847
"Jim Wells",865,40.1,46200,41353,28.2,14.1,21.7,25,45.6,5.2,3.62730636229536
"Wharton",1086.2,49.9,44110,41168,25.9,15.8,18.8,26,46.8,4.7,4.61523513408473
"Upshur",583,79.3,46346,40354,24,17.1,15.8,24,53.9,5.1,2.97368290627943
"Erath",1083.1,46.3,41914,40147,20.8,13.7,22.3,29,57.8,4.2,5.97803073704137
"Caldwell",545.3,42.3,47227,39810,24.2,13.3,18.7,30,45.6,5.1,3.26551117809596
"Kendall",662.5,58.2,77764,38880,23.4,19.1,9.3,18,67.4,4,6.94444444444444
"Cooke",874.8,59,57378,38761,24.2,17.4,14.8,26,51.7,3.8,2.5799127989474
"Chambers",597.1,45.7,77281,38145,27.7,10.8,9.7,26,56.9,5.7,1.04863022676629
"Brown",944.4,40.4,41316,37653,22.9,19.3,18.4,23,46.9,5.1,5.57724484104852
"Howard",900.8,20.1,47299,36651,21.9,12.3,15.3,34,45.6,4.4,3.00128236610188
"Matagorda",1037.1,36.4,41587,36519,25.5,15.8,22,20,41.7,7.8,3.28596073276924
"Hopkins",767.2,59.6,44076,35921,25.2,17.2,19.3,25,48.8,4.7,3.34066423540547
"Jasper",938.9,78.2,41017,35552,24.3,18.2,17.8,28,43.8,8.1,4.78172817281728
"Hill",958.9,76.3,41521,34848,23.9,20.1,17,21,49.1,5.3,3.73048668503214
"Hale",1004.7,23.1,40213,34720,27.7,13,22.3,20,43.1,9.4,3.74423963133641
"Washington",604,53.5,55139,34438,21.6,19.8,14.9,31,52.3,4.5,6.6786689122481
"Fannin",890.8,70.5,43211,33752,21,18.8,17.2,25,49.6,5.4,2.37022991230149
"Bee",880.2,43,40680,32863,21.3,11.4,22.2,23,41.3,5.7,2.13005507713842
"Titus",406.1,50.6,40680,32506,29.2,13.2,22,24,42.9,6.3,5.53743924198609
"Kleberg",881.3,18.9,40884,32190,24.5,12.4,24.5,27,63,5.4,4.65983224603914
"Cass",937,74,39256,30261,22.5,21.2,20.9,21,45.8,7.6,2.97412511152969
"Austin",646.5,66.3,58792,29114,24.2,17.6,10.1,26,58.2,4.7,2.06086418904994
"Palo Pinto",951.8,50.2,40862,28096,24.2,18.2,18.5,37,44.3,5.1,4.62699316628702
