"total_sleep_time","cumulative_gpa","term_gpa","race","gender","firstgen","study"
6.573214285,3.4875,3.646666,1,1,1,2
6.64861111166667,3.375,2.26923,1,1,1,2
6.78869047666667,3.370967742,3.966666,1,1,1,2
8.315384615,3.249999679,3.076923,1,1,1,2
6.507738095,3.351724138,2.690909,1,1,1,2
6.13141025666667,3.279310103,3.766666,1,1,1,2
7.17380952333333,2.331817364,3.446153,0,1,1,2
6.547530865,3.6599998,3.533333,0,1,1,2
5.58630952333333,3.35599984,2.871428,1,1,1,2
6.154761905,2.7,3,0,1,1,2
7.85535714333333,3.543749469,3.517647,0,1,1,2
6.749358975,2.310344414,3.376923,1,1,1,2
6.24814814833333,2.249999462,2.870588,1,1,1,2
7.24761904833333,3.775,3.92,1,1,1,3
5.88869047666667,3.010952381,3.39,1,1,1,3
5.82619047666667,3.835909091,3.85,1,1,1,3
7.42738095166667,3.16,3.53,1,1,1,3
5.600694445,3.156818182,2.9,1,1,1,3
6.93630952333333,3.201111111,3.62,1,1,1,3
7.31488095166667,3.534444444,3.72,1,1,1,3
6.226,2.605714286,2.57,1,1,1,3
7.01527777833333,3.482173913,3.33,1,1,1,3
6.417261905,3.802083333,3.85,0,1,1,3
6.75378787833333,2.9855,1.55,1,1,1,3
6.71,3.800454545,3.25,0,1,1,3
6.835185185,3.662727273,3.35,0,1,1,3
5.59382716,2.850714286,2.97,0,1,1,3
8.53,3.24,2.8,1,1,1,3
6.82916666666667,3.26,3.52,1,1,1,3
6.91282051333333,3.426551724,3.37,1,1,1,3
5.48395061666667,3.627272545,3.5,1,0,1,2
6.46964285666667,3.629166333,3.466666,0,0,1,2
7.044444445,3.434482069,3.483333,0,0,1,2
6.76410256333333,3.5249996,3.4,0,0,1,2
6.13405797166667,2.8999996,3.15,0,0,1,2
6.70466666666667,3.3499995,3.76923,1,0,1,2
7.91543209833333,3.896774032,4,1,0,1,2
6.99122807,3.925806129,3.888888,1,0,1,2
6.90493827166667,3.58749975,3.65,0,0,1,2
6.52254902,2.738461154,2.35,1,0,1,2
5.85802469166667,3.681818,3.95,0,0,1,2
7.32857142833333,3.608695435,3.73125,1,0,1,2
6.03809523833333,2.9484,2.64,1,0,1,3
6.89567901166667,3.048181818,3.67,0,0,1,3
6.860714285,3.455,2.97,0,0,1,3
7.43630952333333,3.13,3,1,0,1,3
7.029761905,3.0425,3.53,0,0,1,3
6.589285715,3.7,3.32,1,0,1,3
6.0125,2.206363636,2.54,0,0,1,3
7.3,3.563214286,4,1,0,1,3
7.307738095,3.818,3.63,1,0,1,3
6.395238095,2.961363636,3.45,0,0,1,3
7.310714285,3.728181818,3.5,0,0,1,3
6.73988095166667,2.99625,1.8,0,0,1,3
7.09642857166667,3.735,3.4,1,0,1,3
5.955555555,3.149333333,2.5,0,0,1,3
8.45166666666667,3.7075,3.1,0,0,1,3
7.45933333333333,3.4136,3.47,0,0,1,3
6.43666666666667,3.456,3.15,1,0,1,3
6.41,3.075,2.46,1,0,1,3
6.95297619,2.617058824,3.35,1,0,1,3
8.48809523833333,3.155769231,3.47,0,0,1,3
7.609444445,3.333166667,3.666833333,1,1,1,4
7.16011904833333,3.166666667,3.5,0,0,1,4
6.99833333333333,2.9334,3.277833333,1,1,1,4
4.56527777833333,2.8002,3.4668,1,0,1,4
5.94722222166667,3.3334,3.2666,1,0,1,4
6.40333333333333,3.722166667,3.722333333,1,1,1,4
5.458641975,3.6666,3.809571429,1,0,1,4
4.59743589666667,3.055666667,3.333333333,1,0,1,4
8.01011904833333,3.140833333,2.8,1,NA,0,3
7.45833333333333,3.7666665,3.5,1,1,0,2
7.612,3.5999996,3.127777,1,1,0,2
8.64285714333333,3.533333,3.9,1,1,0,2
8.22619047666667,3.746153846,3.9,1,1,0,2
4.56964285666667,2.882758207,2.75,1,1,0,2
8.23974359,3.15185137,3.1,1,1,0,2
7.41488095166667,2.915384,2.933333,1,1,0,2
6.36964285666667,3.451851556,3.8,1,1,0,2
7.78645833333333,2.916666,1.7,1,1,0,2
7.311728395,3.33571375,3.933333,1,1,0,2
7.65802469166667,4,4,1,1,0,2
7.35059523833333,3.532257903,3.6,1,1,0,2
5.48141025666667,3.651515121,3.344444,1,1,0,2
6.03541666666667,3.757575182,3.833333,0,1,0,2
4.25617284,3.346428179,2.5,0,1,0,2
8.520987655,3.583333,3.55,1,1,0,2
7.03787878833333,3.7799996,3.266666,0,1,0,2
7.36666666666667,3.8166665,3.933333,1,1,0,2
6.70987654333333,3.912902516,3.85,1,1,0,2
7.16904761833333,3.528571429,3.653846,0,1,0,2
5.469444445,2.939285286,1.7,0,1,0,2
6.969444445,4,3.972727,1,1,0,2
7.20308642,3.6999995,3.623076,1,1,0,2
8.12440476166667,3.82,3.66923,1,1,0,2
6.8125,3.749999643,3.875,1,1,0,2
6.15892857166667,3.818749563,3.752941,1,1,0,2
8.095238095,3.077418968,3.230769,1,1,0,2
8.08611111166667,3.856521391,3.95,1,1,0,2
8.289285715,2.603447931,3.9,0,1,0,2
6.394444445,3.913792345,4,1,1,0,2
4.85757575833333,3.45999992,3.566666,0,1,0,2
6.184615385,3.315151182,3.721428,1,1,0,2
7.57843137333333,3.2799998,3.5,0,1,0,2
5.93035714333333,3.3799998,3.5,0,1,0,2
6.33611111166667,3.4156245,3.233333,1,1,0,2
7.05777777833333,3.675,3.538461,1,1,0,2
6.45072463833333,3.43999985,3.5,1,1,0,2
8.04333333333333,3.326086652,3.033333,1,1,0,2
6.97833333333333,3.111110778,3.2,0,1,0,2
6.808,3.8799998,3.961538,1,1,0,2
5.98717948666667,3.621739,3.592307,0,1,0,2
6.87166666666667,3.8666665,3.966666,1,1,0,2
8.526785715,3.916666,3.9,1,1,0,2
7.63333333333333,3.7,3.933333,1,1,0,2
7.53066666666667,3.333332556,2.533333,1,1,0,2
6.54197530833333,3.955172,3.964285,1,1,0,2
6.551785715,3.579999833,3.966666,1,1,0,2
6.77857142833333,3.913792862,3.952941,1,1,0,2
6.03035714333333,3.458620069,3.55,1,1,0,2
6.08141025666667,3.090624375,2.9,1,1,0,2
7.27266666666667,3.725806129,3.733333,1,1,0,2
